basic,parallel
3.983020782470703125e-03,6.231069564819335938e-03
6.345987319946289062e-03,2.696990966796875000e-03
1.115417480468750000e-02,4.844903945922851562e-03
5.138301849365234375e-02,8.261203765869140625e-03
1.745438575744628906e-01,1.861190795898437500e-02
6.982676982879638672e-01,4.885196685791015625e-02
2.473845005035400391e+00,6.990170478820800781e-02
9.139873981475830078e+00,1.415557861328125000e-01
3.361842989921569824e+01,2.803227901458740234e-01
1.152143487930297852e+02,5.869548320770263672e-01
3.007606031894683838e+02,1.061560869216918945e+00
nan,1.613660097122192383e+00
nan,2.387607097625732422e+00
nan,6.365442037582397461e+00
nan,9.776975870132446289e+00
nan,2.002835297584533691e+01
